               Date|        Records|               Bytes|          Packets|
2016/03/07T00:00:00|     1326100.69|      14709162549.26|      17065137.39|
2016/03/07T01:00:00|     1371258.94|      16441517809.99|      18096180.41|
2016/03/07T02:00:00|     1333111.26|      20033407725.67|      19515455.72|
2016/03/07T03:00:00|     1251673.92|      12290596031.37|      14055502.69|
2016/03/07T04:00:00|     1217143.26|       6546980540.20|       9158787.35|
2016/03/07T05:00:00|     1176261.69|       4128032510.79|       8457473.94|
2016/03/07T06:00:00|     1154032.39|       5842479042.42|       8621116.23|
2016/03/07T07:00:00|     1146674.05|       4128711071.71|       6915753.90|
2016/03/07T08:00:00|     1151906.57|       4193127734.84|       6700173.46|
2016/03/07T09:00:00|     1144597.96|       2875028537.87|       5998142.42|
2016/03/07T10:00:00|     1167482.38|       2449417569.76|       6067712.20|
2016/03/07T11:00:00|     1300002.51|       4413647350.44|       8870097.16|
2016/03/07T12:00:00|     2189467.24|       9308891872.01|      22433977.05|
2016/03/07T13:00:00|     4287315.36|      22309303861.16|      52255202.27|
2016/03/07T14:00:00|     5683562.75|      32031102589.23|      74350260.82|
2016/03/07T15:00:00|     6086750.46|      44826891390.13|      85207989.11|
2016/03/07T16:00:00|     6217759.09|      56451929580.12|      92206528.90|
2016/03/07T17:00:00|     5818054.99|      40917166312.45|      81213769.57|
2016/03/07T18:00:00|     6017960.76|      39261441084.58|      82936754.56|
2016/03/07T19:00:00|     5761545.67|      36499906047.10|      78320195.69|
2016/03/07T20:00:00|     5519119.14|      31212862251.67|      71259182.10|
2016/03/07T21:00:00|     4616277.98|      44903683000.10|      73462328.76|
2016/03/07T22:00:00|     2586027.39|      27439259602.14|      40125070.15|
2016/03/07T23:00:00|     1907285.36|      23187973603.17|      28151671.78|
2016/03/08T00:00:00|         353.18|        101980174.83|        113967.39|
