            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
  131.247.66.98|     10.119.4.5|64052|  389|  6|        12|      3689|        |2016/03/15T14:09:30.126|    0.640|2016/03/15T14:09:30.766|Health|
  131.247.66.98|     10.119.4.5|64047|  135|  6|         5|       552|        |2016/03/15T14:09:29.679|    0.192|2016/03/15T14:09:29.871|Health|
  131.247.66.98|     10.119.4.5|61036|  389| 17|         1|       204|        |2016/03/15T14:09:30.125|    0.000|2016/03/15T14:09:30.125|Health|
  131.247.66.98|     10.119.4.5|61245|  389| 17|         1|       205|        |2016/03/15T14:09:29.614|    0.000|2016/03/15T14:09:29.614|Health|
  131.247.66.98|     10.119.4.5|64055|  389|  6|         7|      2461|        |2016/03/15T14:09:30.189|    0.064|2016/03/15T14:09:30.253|Health|
  131.247.66.98|     10.119.4.5|64056|  445|  6|        10|      4277|        |2016/03/15T14:09:30.189|    0.064|2016/03/15T14:09:30.253|Health|
  131.247.66.98|     10.119.4.5|64047|  135|  6|         2|        92|        |2016/03/15T14:09:42.540|    0.000|2016/03/15T14:09:42.540|Health|
  131.247.66.98|     10.119.4.5|64056|  445|  6|         3|       270|        |2016/03/15T14:09:45.293|    0.000|2016/03/15T14:09:45.293|Health|
  131.247.66.98|     10.119.4.5|65088|  445|  6|        10|      4241|        |2016/03/15T14:13:14.245|    0.256|2016/03/15T14:13:14.501|Health|
  131.247.66.98|     10.119.4.5|65088|  445|  6|         3|       270|        |2016/03/15T14:13:27.299|    0.000|2016/03/15T14:13:27.299|Health|
  131.247.66.98|     10.119.4.5|50044|  389|  6|         8|      3372|        |2016/03/15T14:19:23.538|    0.768|2016/03/15T14:19:24.306|Health|
  131.247.66.98|     10.119.4.5|50046|  389|  6|         8|      3001|        |2016/03/15T14:19:23.665|    0.000|2016/03/15T14:19:23.665|Health|
  131.247.66.98|     10.119.4.5|50038|  135|  6|         7|       806|        |2016/03/15T14:19:23.028|    4.096|2016/03/15T14:19:27.124|Health|
  131.247.66.98|     10.119.4.5|50034|  445|  6|       163|     47772|        |2016/03/15T14:19:22.900|   10.432|2016/03/15T14:19:33.332|Health|
  131.247.66.98|     10.119.4.5|50038|  135|  6|         2|        92|        |2016/03/15T14:19:38.258|    0.000|2016/03/15T14:19:38.258|Health|
  131.247.66.98|     10.119.4.5|50061|  389|  6|       608|     49486|        |2016/03/15T14:19:27.028|    0.832|2016/03/15T14:19:27.860|Health|
  131.247.66.98|     10.119.4.5|52729|  445|  6|        10|      4241|        |2016/03/15T14:28:14.304|    0.256|2016/03/15T14:28:14.560|Health|
  131.247.66.98|     10.119.4.5|52729|  445|  6|         3|       270|        |2016/03/15T14:28:27.357|    0.000|2016/03/15T14:28:27.357|Health|
  131.247.66.98|     10.119.4.5|56611|  445|  6|        10|      4241|        |2016/03/15T14:43:14.356|    0.256|2016/03/15T14:43:14.612|Health|
