             sip| proto|                   stime|                   etime|     flows|   packets|     bytes|
   131.247.67.45|     6|     2016-03-04 15:29:09|     2016-03-04 15:29:17|        36|       464|    327329|
   131.247.67.45|     6|     2016-03-04 15:29:33|     2016-03-04 15:29:41|        34|       416|     62677|
   131.247.67.45|     6|     2016-03-04 15:29:40|     2016-03-04 15:29:49|        69|       934|    717421|
   131.247.67.45|     6|     2016-03-04 15:29:40|     2016-03-04 15:29:48|        44|       291|     33264|
   131.247.67.45|     6|     2016-03-04 15:29:57|     2016-03-04 15:30:05|        34|       564|    477663|
   131.247.67.45|     6|     2016-03-04 15:30:04|     2016-03-04 15:30:12|        34|       492|    219233|
   131.247.67.45|     6|     2016-03-04 15:30:40|     2016-03-04 15:30:44|        36|       301|     65288|
   131.247.67.45|     6|     2016-03-04 15:30:45|     2016-03-04 15:30:53|        57|      1547|   1464812|
   131.247.67.45|     6|     2016-03-04 15:30:53|     2016-03-04 15:31:01|        52|       554|    119576|
   131.247.67.45|     6|     2016-03-04 15:30:52|     2016-03-04 15:30:59|        65|       711|    123309|
   131.247.67.45|     6|     2016-03-04 15:30:52|     2016-03-04 15:31:08|        34|      3228|   4398135|
   131.247.67.45|     6|     2016-03-04 15:31:11|     2016-03-04 15:31:17|        42|       314|     38839|
   131.247.67.45|     6|     2016-03-04 15:31:25|     2016-03-04 15:31:33|        75|      1086|    679187|
   131.247.67.45|     6|     2016-03-04 15:31:26|     2016-03-04 15:31:33|        68|       767|    386023|
   131.247.67.45|     6|     2016-03-04 15:31:47|     2016-03-04 15:31:57|        79|      1430|    128939|
   131.247.67.45|     6|     2016-03-04 15:31:51|     2016-03-04 15:31:57|        43|       427|     45736|
   131.247.67.45|     6|     2016-03-04 15:31:57|     2016-03-04 15:32:05|        47|       558|    113396|
   131.247.67.45|     6|     2016-03-04 15:31:57|     2016-03-04 15:32:05|        81|       707|     76079|
   131.247.67.45|     6|     2016-03-04 15:32:05|     2016-03-04 15:32:13|        56|       914|    390472|
   131.247.67.45|     6|     2016-03-04 15:32:12|     2016-03-04 15:32:21|        53|       940|    534216|
   131.247.67.45|     6|     2016-03-04 15:32:13|     2016-03-04 15:32:21|        69|       888|    419699|
   131.247.67.45|     6|     2016-03-04 15:32:21|     2016-03-04 15:32:29|        85|       807|    223121|
   131.247.67.45|     6|     2016-03-04 15:32:23|     2016-03-04 15:32:29|        45|       366|     35320|
