             sip| proto|                   stime|                   etime|     flows|   packets|     bytes|
  58.137.160.210|     6|     2016-03-08 16:56:15|     2016-03-08 16:56:17|        76|        79|      3256|
   61.244.49.137|     6|     2016-03-08 10:48:00|     2016-03-08 19:25:53|        17|        26|      1058|
   64.125.239.91|     6|     2016-03-08 04:14:12|     2016-03-08 19:52:37|         4|         7|       280|
   69.64.226.187|     6|     2016-03-08 06:25:48|     2016-03-08 06:30:45|        10|        17|       686|
    71.6.135.131|     6|     2016-03-08 00:44:39|     2016-03-08 23:33:32|        64|       295|     30927|
    71.6.165.200|     6|     2016-03-08 01:03:43|     2016-03-08 23:51:44|        70|       373|     37086|
     74.82.47.36|     6|     2016-03-08 01:40:06|     2016-03-08 16:48:51|         6|        11|       464|
   74.208.69.220|     6|     2016-03-08 01:13:30|     2016-03-08 23:57:45|        14|        21|       858|
  74.208.155.105|     6|     2016-03-08 00:02:34|     2016-03-08 22:52:23|        13|        24|      1329|
 141.212.122.221|     6|     2016-03-08 07:58:12|     2016-03-08 22:46:58|         9|        13|       538|
 186.216.138.193|     6|     2016-03-08 01:54:35|     2016-03-08 01:55:27|        19|        71|      4260|
    188.0.236.81|     6|     2016-03-08 00:26:02|     2016-03-08 10:42:44|        45|        77|      3188|
  204.152.218.49|     6|     2016-03-08 19:02:07|     2016-03-08 19:02:12|         9|        14|       584|
 205.209.185.206|     6|     2016-03-08 19:28:28|     2016-03-08 19:28:32|        19|        24|       984|
